,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
632,One Kiss (with Dua Lipa),Calvin Harris,2,2017,6,2,27705,10,1897517891,537,122,2726,6,46,124,9,Minor,79,59,86,4,0,8,11
633,One Kiss (with Dua Lipa),Dua Lipa,2,2017,6,2,27705,10,1897517891,537,122,2726,6,46,124,9,Minor,79,59,86,4,0,8,11
634,Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12,56,13,0,18,125,10,Minor,71,83,89,1,0,17,9
635,Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895,57,119,77,1,45,90,-1,Major,80,71,69,2,0,27,10
636,WAIT FOR U (feat. Drake & Tems),Drake,3,2022,4,27,5491,14,556585270,128,84,75,0,32,83,1,Major,46,34,64,31,0,7,34
637,WAIT FOR U (feat. Drake & Tems),Future,3,2022,4,27,5491,14,556585270,128,84,75,0,32,83,1,Major,46,34,64,31,0,7,34
638,WAIT FOR U (feat. Drake & Tems),Tems,3,2022,4,27,5491,14,556585270,128,84,75,0,32,83,1,Major,46,34,64,31,0,7,34
639,Don't Start Now,Dua Lipa,1,2019,10,31,27119,0,2303033973,532,77,1535,3,26,124,11,Minor,79,68,79,1,0,10,8
640,After Dark,Mr.Kitty,1,2014,8,8,1776,14,646886885,1,9,3,0,7,140,8,Major,58,4,60,7,41,8,3
641,Eu Gosto Assim - Ao Vivo,Gustavo Mioto,2,2022,9,16,1473,4,222612678,27,64,66,1,23,154,-1,Major,64,61,91,15,0,72,4
642,Eu Gosto Assim - Ao Vivo,Mari Fernandez,2,2022,9,16,1473,4,222612678,27,64,66,1,23,154,-1,Major,64,61,91,15,0,72,4
643,INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,2,2021,7,23,13315,0,1814349763,300,47,690,0,15,150,3,Minor,74,89,70,2,0,5,6
644,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2,2021,7,23,13315,0,1814349763,300,47,690,0,15,150,3,Minor,74,89,70,2,0,5,6
645,MIDDLE OF THE NIGHT,Elley Duh##,1,2020,1,10,4057,8,872137015,78,21,240,1,10,186,4,Minor,41,9,61,2,0,12,5
646,Atlantis,Seafret,1,2015,4,22,3045,6,571386359,43,53,134,1,20,166,8,Minor,40,23,48,5,0,12,3
647,PUNTO 40,Baby Rasta,2,2022,9,22,3006,12,304079786,54,32,66,2,15,107,-1,Major,87,20,83,0,4,31,9
648,PUNTO 40,Rauw Alejandro,2,2022,9,22,3006,12,304079786,54,32,66,2,15,107,-1,Major,87,20,83,0,4,31,9
649,Evoque Prata,DJ Escobar,3,2022,9,9,852,0,174006928,14,1,50,0,0,87,7,Major,87,52,52,31,0,28,24
650,Evoque Prata,MC MENOR SG,3,2022,9,9,852,0,174006928,14,1,50,0,0,87,7,Major,87,52,52,31,0,28,24
651,Evoque Prata,MC MENOR HR,3,2022,9,9,852,0,174006928,14,1,50,0,0,87,7,Major,87,52,52,31,0,28,24
652,How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823,72,97,58,0,37,82,8,Major,40,39,64,21,0,7,7
653,Blind,SZA,1,2022,12,9,1484,0,163284000,22,51,12,0,17,114,9,Minor,46,60,28,91,0,21,4
