,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,140,Minor,65,87,74,22,0,42,4
21,I Can See You (Taylors Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,123,Major,69,82,76,6,0,6,3
22,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,135,Minor,48,44,42,12,2,11,3
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,133,Minor,85,81,67,26,0,12,5
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,99,Major,85,83,68,7,0,36,20
25,SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,130,Minor,79,96,86,9,0,9,9
26,Calm Down (with Selena Gomez),"R######ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,107,Major,80,82,80,43,0,14,4
27,MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,122,Minor,81,74,71,14,0,56,4
28,Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,204,Major,52,52,68,46,0,15,4
29,Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,110,Minor,67,78,85,2,0,33,5
30,Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,126,Minor,74,35,84,0,0,11,6
31,TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,168,Major,56,63,87,39,0,11,5
32,Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,98,Minor,71,17,61,36,0,8,5
